name;brand;type;rating_value;rating_count;year;segment;perfumers;families;top_notes;middle_notes;bottom_notes;users_notes;url
Prada Intense;Prada;Парфюмерная вода;4,3;13 оценок;2005;suite;daniela-roche-andrier;floral, east;bergamot, cvetok-mandarina, bitter-orange, mandarin;mimosa, pachuli, peruvian-balsam, rose;tonka-bean, labdanum, musk, sandal, vanil;;https://aromo.ru/fragrance/prada-prada-intense-perfume-water-eau-de-parfum-82212/
Style Pastels Tender Green;Jil Sander;Парфюмерная вода;4,3;13 оценок;2008;suite;bernard-ellena;green, floral;;chaj, bitter-orange, jasmine;;;https://aromo.ru/fragrance/jil-sander-style-pastels-tender-green-perfume-water-eau-de-parfum-90287/
La Petite Robe Noire Eau de Toilette So Frenchy;Guerlain;Туалетная вода;4,3;13 оценок;2020;suite;thierry-wasser;fruit, floral;rose, green-notes, jasmine;black-currant, neroli, vishna, zelenoje-jabloko;ambra, white-musk, pachuli;;https://aromo.ru/fragrance/guerlain-la-petite-robe-noire-eau-de-toilette-so-frenchy-toilet-water-eau-de-toilette-2284227/
Choeur des Anges;Atelier des Ors;Парфюмерная вода;4,3;13 оценок;2018;niche;;fruit, floral, east;black-currant, grusha, red-orange;apelsinovyj-cvet-flerdoranzh, osmantus, carrot-seeds;ambra, kedr, mod;mod, apelsinovyj-cvet-flerdoranzh, grusha, red-orange, carrot-seeds, ambra, black-currant, kedr, osmantus;https://aromo.ru/fragrance/atelier-des-ors-choeur-des-anges-perfume-water-eau-de-parfum-1223251/
Dates Delight;The House of Oud;Парфюмерная вода;4,3;13 оценок;2016;niche;;east, gourmet;finiki, peony;tonka-bean, karamel, cinnamon, coumarin;benzoin, labdanum, mod, sahar, vanil;finiki, karamel, benzoin, tonka-bean, cinnamon, mod, peony, sahar, vanil, coumarin, labdanum;https://aromo.ru/fragrance/the-house-of-oud-dates-delight-perfume-water-eau-de-parfum-51463/
Narciso Poudree;Narciso Rodriguez;Парфюмерная вода;4,3;127 оценок;2016;suite;aurelien-guichard;musk, floral, powdery;apelsinovyj-cvet-flerdoranzh, rose, jasmine;musk, powdery-notes;white-cedar, tonka-bean, pachuli, vetiver;powdery-notes, musk, tonka-bean, rose, jasmine, white-cedar, pachuli, apelsinovyj-cvet-flerdoranzh, vetiver;https://aromo.ru/fragrance/narciso-rodriguez-narciso-poudree-perfume-water-eau-de-parfum-76027/
Acqua di Gioia;Giorgio Armani;Парфюмерная вода;4,3;125 оценок;2010;suite;loc-dong, anne-flipo, dominique-ropion;water, floral;lemon, mint;peony, pink-pepper, jasmine;kedr, korichnevyj-sahar, labdanum;lemon, mint, jasmine, peony, kedr, korichnevyj-sahar, pink-pepper, labdanum, sahar;https://aromo.ru/fragrance/giorgio-armani-acqua-di-gioia-perfume-water-eau-de-parfum-37921/
Noa;Cacharel;Туалетная вода;4,3;123 оценки;1998;suite;olivier-cresp;floral, powdery;frezija, musk, peach, peony, sliva, green-notes;ilang-ilang, lily-of-the-valley, rose, trava, jasmine, lily;tonka-bean, kedr, coffee, coriander, ladan, sandal, vanil;musk, jasmine, lily-of-the-valley, vanil, frezija, ilang-ilang, peony, green-notes, lily, coffee, tonka-bean, trava, peach, kedr, coriander, ladan, rose, sandal, sliva;https://aromo.ru/fragrance/cacharel-noa-toilet-water-eau-de-toilette-77274/
Miracle;Lancôme;Парфюмерная вода;4,3;122 оценки;2000;suite;alberto-morillas, harry-fremont, charles-boussiquet;floral;frezija, lichi;ginger, magnolija, mandarin, pepper, jasmine;ambra, musk;lichi, frezija, magnolija, jasmine, pepper, ginger, ambra, mandarin, musk;https://aromo.ru/fragrance/lancome-miracle-perfume-water-eau-de-parfum-73823/
Blanche;Byredo;Парфюмерная вода;4,3;120 оценок;;;;floral, aldehyde;aldehydes, rose, pink-pepper;violet, neroli, peony;cashmeran, musk, sandal;aldehydes, peony, musk, neroli, violet, rose, cashmeran, pink-pepper, sandal;https://aromo.ru/fragrance/byredo-blanche-perfume-water-eau-de-parfum-44450/
Synthetic Jungle;Editions de Parfums Frédéric Malle;Парфюмерная вода;4,3;12 оценок;;;;green, floral;basil, black-currant, gardenija;ilang-ilang, indol-indole, lily-of-the-valley, mindal, jasmine;dubovyj-moh, pachuli;basil, dubovyj-moh, lily-of-the-valley, pachuli, jasmine, gardenija;https://aromo.ru/fragrance/frederic-malle-synthetic-jungle-perfume-water-eau-de-parfum-2398068/
Copper;Comme des Garçons Parfums;Парфюмерная вода;4,3;12 оценок;;;;spicy, green, east;;ambra, galbanum, ginger, metallic-notes, myrrh, pepper, vanil;;galbanum, vanil, ginger, pepper, metallic-notes, myrrh;https://aromo.ru/fragrance/comme-des-garcons-copper-perfume-water-eau-de-parfum-2156305/
La Femme Water Splash;Prada;Туалетная вода;4,3;12 оценок;;;;citrus, floral;mandarin, tangerine;frangipani, lily-of-the-valley, magnolija;sandal, green-notes;frangipani, magnolija, mandarin, sandal;https://aromo.ru/fragrance/prada-la-femme-water-splash-toilet-water-eau-de-toilette-1929613/
Bel Air 2019;Molinard;Парфюмерная вода;4,3;12 оценок;;;;floral;bergamot, black-currant, mandarin, nutmeg, pink-pepper;iris, list-fialki, mimosa, neroli, tuberoza, jasmine, may-rose-rosa-centifolia;ambra, kedr, lotos, musk, sandal, vanil;mimosa, vanil, musk, neroli, sandal, jasmine, black-currant, iris, nutmeg, tuberoza, may-rose-rosa-centifolia, ambra, list-fialki, lotos, bergamot, kedr, mandarin, pink-pepper;https://aromo.ru/fragrance/molinard-bel-air-2019-perfume-water-eau-de-parfum-1941371/
Lace Noir;Agent Provocateur;Парфюмерная вода;4,3;12 оценок;;;;floral, east;bergamot, pink-pepper;kokos, rose, tuberoza, jasmine;tonka-bean, pachuli, vanil;tonka-bean, rose, tuberoza, kokos, pachuli, vanil, jasmine;https://aromo.ru/fragrance/agent-provocateur-lace-noir-perfume-water-eau-de-parfum-1519115/
Tendre Nuit;Isabey;Парфюмерная вода;4,3;12 оценок;;;;floral, east;mindal, pink-pepper;ambretta, rose, damask-rose-rosa-damascena;ambroxan, benzoin, cashmeran, vanil;mindal, pink-pepper, ambretta, benzoin, rose, vanil, damask-rose-rosa-damascena;https://aromo.ru/fragrance/isabey-tendre-nuit-perfume-water-eau-de-parfum-1204699/
Sense of Humor;State of Mind;Парфюмерная вода;4,3;12 оценок;;;;fern, citrus;black-currant, musk, peach;cedrat, chaj, mate;white-cedar, coriander, mandarin;cedrat, mandarin, chaj, black-currant, mate, musk, white-cedar, coriander, peach;https://aromo.ru/fragrance/state-of-mind-sense-of-humor-458981/
Regina;Ajmal;Парфюмерная вода;4,3;12 оценок;;;;floral, fruit;marakuja, rose, sliva;floral-notes;ambra, brazilian-mahogany, praline;;https://aromo.ru/fragrance/ajmal-regina-perfume-water-eau-de-parfum-36435/
Tubereuse Imperiale;Parfums BDK Paris;Парфюмерная вода;4,3;12 оценок;;;;floral, east;geranium, iva-chay, pink-pepper;ilang-ilang, iris, tuberoza, zhasmin-sambak;benzoin, incenses, cashmeran, cypress, ladan, pachuli, sandal, madagascan-vanilla;ilang-ilang, ladan, zhasmin-sambak, iris, iva-chay, pachuli, sandal, tuberoza, benzoin, geranium, cashmeran, cypress, vanil, zhasmin-grandiflorum;https://aromo.ru/fragrance/parfums-bdk-paris-tubereuse-imperiale-perfume-water-eau-de-parfum-93782/
Soleil De Jade;Louis Feraud;Парфюмерная вода;4,3;12 оценок;;;;green, floral;jabloko, jezhevika, lemon;list-fialki, ogurec, pachuli, rose, jasmine;benzoin, drevesnyje-noty, kedr, morskaja-zvezda, musk, sandal, vanil;jabloko, lemon, benzoin, drevesnyje-noty, kedr, morskaja-zvezda, ogurec, sandal;https://aromo.ru/fragrance/louis-feraud-soleil-de-jade-perfume-water-eau-de-parfum-89139/
