url;Perfume;Brand;Country;Gender;Year;Top;Middle;Base
https://www.fragrantica.com/perfume/ellis-brooklyn/rives-46026.html;rives;ellis-brooklyn;USA;unisex;2017;neroli, petitgrain;lavender, orange blossom;cashmere wood, white suede
https://www.fragrantica.com/perfume/avon/celebre-ice-22836.html;celebre-ice;avon;USA;women;2013;grapefruit, green notes, bergamot, violet leaf;rose, freesia, peach;musk, woody notes, vanilla
https://www.fragrantica.com/perfume/alyssa-ashley/purple-elixir-52035.html;purple-elixir;alyssa-ashley;USA;women;2018;star anise, jasmine, solar notes, aldehydes;jasmine, orange blossom, heliotrope, cashmere wood;amber, musk, vetiver
https://www.fragrantica.com/perfume/jean-paul-gaultier/gaultier-divine-le-parfum-93887.html;gaultier-divine-le-parfum;jean-paul-gaultier;France;women;2024;solar notes, lily;frangipani, sea salt;amber, benzoin
https://www.fragrantica.com/perfume/faberlic/eye-to-eye-vlublena-25192.html;eye-to-eye-vlublena;faberlic;Russia;women;2003;cinnamon, apple, pineapple;toffee, caramel, vanilla, peach, jasmine, violet;tonka bean
https://www.fragrantica.com/perfume/ricardo-ramos-perfumes-de-autor/shisha-lounge-58575.html;shisha-lounge;ricardo-ramos-perfumes-de-autor;Spain;unisex;2019;anise, red fruits, hazelnut, neroli;tobacco, labdanum, oakmoss, patchouli;amber, madagascar vanilla, tonka bean, musk
https://www.fragrantica.com/perfume/aaron-terence-hughes/filth-59408.html;filth;aaron-terence-hughes;UK;unisex;2020;gardenia, jasmine sambac;amber, dark chocolate;leather, patchouli, natural musk
https://www.fragrantica.com/perfume/boadicea-the-victorious/dragon-90202.html;dragon;boadicea-the-victorious;UK;unisex;2024;cinnamon, saffron;incense, magnolia, amber;cashmere musk, vanilla
https://www.fragrantica.com/perfume/ds-durga/deep-dark-vanilla-84717.html;deep-dark-vanilla;ds-durga;USA;unisex;2023;cabreuva, orchid, pink pepper;cypress, vanilla leaves, vine;dark patchouli, vanilla absolute, hay
https://www.fragrantica.com/perfume/jo-malone-london/red-roses-cologne-2023-79465.html;red-roses-cologne-2023;jo-malone-london;UK;women;2023;lemon;red rose;honeycomb
https://www.fragrantica.com/perfume/oriflame/elvie-white-magic-14276.html;elvie-white-magic;oriflame;Sweden;women;2011;amalfi lemon, neroli, bergamot, pink pepper;jasmine, african orange flower, freesia;musk, virginia cedar, sandalwood
https://www.fragrantica.com/perfume/faberlic/flower-fresh-10211.html;flower-fresh;faberlic;Russia;women;2009;grass, watermelon, mandarin orange, peony;pink tulip, peach, tomato leaf;cypress, musk
https://www.fragrantica.com/perfume/diesel/d-red-by-diesel-89328.html;d-red-by-diesel;diesel;Italy;unisex;2024;blood grapefruit;lavender;sandalwood
https://www.fragrantica.com/perfume/anna-sui/dolly-girl-lil-starlet-3154.html;dolly-girl-lil-starlet;anna-sui;USA;women;2008;lemon, orange, pear;peony, lily;plum, musk
https://www.fragrantica.com/perfume/rogue-perfumery/a-oud-ancienne-81908.html;a-oud-ancienne;rogue-perfumery;USA;unisex;2022;agarwood, cypress;castoreum, amyris, labdanum;oakmoss, ylang ylang, bitter almond
https://www.fragrantica.com/perfume/o-boticario/men-brahma-83897.html;men-brahma;o-boticario;Brazil;men;2023;eucalyptus, lemon, black pepper, bergamot;elemi, artemisia, sage, cardamom;amber, musk, cedar, patchouli, vetiver
https://www.fragrantica.com/perfume/comptoir-sud-pacifique/yucatan-secret-68100.html;yucatan-secret;comptoir-sud-pacifique;France;unisex;2021;watermelon, bergamot;absinthe, lavender;sandalwood, cashmere wood, amber
https://www.fragrantica.com/perfume/ellis-brooklyn/vanilla-milk-75835.html;vanilla-milk;ellis-brooklyn;USA;women;2022;milk, frangipani, jasmine, peony;bourbon vanilla, madagascar vanilla, cacao pod;benzoin, amyris, sandalwood, musk
https://www.fragrantica.com/perfume/paris-elysees/vodka-pink-35273.html;vodka-pink;paris-elysees;India;women;2015;verbena, sage, chamomile;rose, white flowers, geranium;moss, patchouli, vetiver
https://www.fragrantica.com/perfume/navitus-parfums/champagne-royale-70108.html;champagne-royale;navitus-parfums;UAE;unisex;2021;ginger, champagne, sicilian lemon, italian mandarin;plum, iris, geranium, ceylon cinnamon, nutmeg, cypress;balsam fir, leather, virginia cedar, guaiac wood
https://www.fragrantica.com/perfume/jequiti/lamborghini-46227.html;lamborghini;jequiti;Brazil;men;2017;green notes, bergamot, pineapple, lime;cedar, apple, lily-of-the-valley;musk, vanilla, ambergris
https://www.fragrantica.com/perfume/ellen-tracy/fashionista-20358.html;fashionista;ellen-tracy;USA;women;2011;peach, plum, melon, citruses;mimosa, orange blossom, violet;woody notes, spicy notes
https://www.fragrantica.com/perfume/cb-i-hate-perfume/revelation-8664.html;revelation;cb-i-hate-perfume;USA;unisex;2006;fig leaf;white honey, spices;cypress, virginia cedar, french labdanum, amber
https://www.fragrantica.com/perfume/attar-collection/floral-musk-65855.html;floral-musk;attar-collection;UAE;unisex;2021;tagetes, jasmine;caramel, amber;white musk, moss, lily-of-the-valley
https://www.fragrantica.com/perfume/lattafa-perfumes/muna-89897.html;muna;lattafa-perfumes;UAE;unisex;2022;watermelon, strawberry;cyclamen, magnolia, peony, damask rose;musk, woody notes
https://www.fragrantica.com/perfume/bi-es/love-forever-white-30392.html;love-forever-white;bi-es;Poland;women;;grapefruit, black currant, apricot;lily-of-the-valley, jasmine, rose;apple, woody notes
https://www.fragrantica.com/perfume/bi-es/sin-30372.html;sin;bi-es;Poland;women;2014;tangerine, red currant, green notes;rose, plum, orange, freesia;amber, patchouli, musk
https://www.fragrantica.com/perfume/zarkoperfume/e-l-24807.html;e-l;zarkoperfume;Denmark;unisex;2013;white flowers, pomegranate;sea notes, green notes, green tea;white musk, white woods
https://www.fragrantica.com/perfume/fcuk/fcuk-him-695.html;fcuk-him;fcuk;UK;men;2004;lavender, rosemary, basil;tea, sage;vanilla, patchouli
https://www.fragrantica.com/perfume/al-haramain-perfumes/ehsas-26542.html;ehsas;al-haramain-perfumes;UAE;unisex;;musk, ambergris, woody notes, rose, white flowers, citruses, spicy notes;musk, ambergris, woody notes, aldehydes, lily-of-the-valley, sea notes, geranium, artemisia;musk, ambergris, rose, sandalwood, tonka bean, moss, guaiac wood
https://www.fragrantica.com/perfume/avon/avon-luck-eau-so-happy-74277.html;avon-luck-eau-so-happy;avon;USA;women;2022;raspberry;magnolia;musk
https://www.fragrantica.com/perfume/paco-rabanne/phantom-legion-71654.html;phantom-legion;paco-rabanne;Spain;men;2022;lemon zest, lavender, lemon;patchouli, smoke, lavender, earthy notes, apple;vanilla, lavender, vetiver
https://www.fragrantica.com/perfume/tom-ford/vanilla-sex-88588.html;vanilla-sex;tom-ford;USA;unisex;2023;bitter almond;vanilla, floral notes;vanilla absolute, ultravanil, tonka bean, sandalwood
https://www.fragrantica.com/perfume/oriflame/giordani-gold-2350.html;giordani-gold;oriflame;Sweden;women;2002;white flowers, orange blossom, mandarin orange, lemon blossom;jasmine, tuberose, lily;cypress, patchouli, moss, white musk
https://www.fragrantica.com/perfume/brocard/commedia-dell-arte-45931.html;commedia-dell-arte;brocard;Russia;women;2017;orange, lemon, bergamot;apricot, plum, honeysuckle, white flowers;honey, vanilla, musk
https://www.fragrantica.com/perfume/brocard/sea-sparkle-66490.html;sea-sparkle;brocard;Russia;unisex;2021;sea water, citruses, ozonic notes;melon, jasmine, herbal notes;ambergris
https://www.fragrantica.com/perfume/charriol/show-off-14500.html;show-off;charriol;Switzerland;women;2012;black currant, bergamot, peach;rose, lotus, violet;virginia cedar, musk, amber
https://www.fragrantica.com/perfume/house-of-sillage/wednesday-88390.html;wednesday;house-of-sillage;USA;unisex;2023;black pepper, elemi resin, saffron;turkish rose, rose, magnolia;patchouli, vetiver, agarwood
https://www.fragrantica.com/perfume/parfums-genty/colore-colore-violet-28577.html;colore-colore-violet;parfums-genty;Russia;women;2008;black currant, blackberry, pineapple;sugar cane, rose, green notes, jasmine;musk, sandalwood, woody notes
https://www.fragrantica.com/perfume/jousset-parfums/gourmand-bakhoor-dehn-al-oud-74807.html;gourmand-bakhoor-dehn-al-oud;jousset-parfums;France;unisex;2022;caramel, vanilla, amaretto;almond, cacao, honey;agarwood (oud)
https://www.fragrantica.com/perfume/bi-es/cherry-bloom-30374.html;cherry-bloom;bi-es;Poland;women;;green grass, grapes;jasmine, cherry, violet, almond;iris, musk
https://www.fragrantica.com/perfume/brocard/le-secret-du-charme-53807.html;le-secret-du-charme;brocard;Russia;women;2019;pear, apple, lemon;cedar, sandalwood, lily-of-the-valley;musk, vanilla, amber
https://www.fragrantica.com/perfume/mexx/mexx-spring-is-now-woman-30172.html;mexx-spring-is-now-woman;mexx;Netherlands;women;2015;apple, grapefruit, black currant;rose, lily-of-the-valley;peach blossom, brazilian rosewood
https://www.fragrantica.com/perfume/hilde-soliani/presenze-14870.html;presenze;hilde-soliani;Italy;unisex;2012;bergamot;jasmine, lily-of-the-valley, patchouli;vetiver, amber, vanilla
https://www.fragrantica.com/perfume/house-of-sillage/whispers-of-strength-47318.html;whispers-of-strength;house-of-sillage;USA;women;2017;boysenberry, frangipani;indian tuberose, egyptian jasmine;amber, vanilla
https://www.fragrantica.com/perfume/naomi-campbell/here-to-stay-63621.html;here-to-stay;naomi-campbell;USA;women;2020;raspberry, black currant;rose, jasmine;musk, vanilla
https://www.fragrantica.com/perfume/teo-cabanel/deja-vu-80395.html;deja-vu;teo-cabanel;France;unisex;2023;bubble gum, raspberry, citron;iris, jasmine sambac, orange blossom;white leather, white musk
